"","name","gs_email","as_pc_chair","as_pc","as_session_chair","as_panelist","as_keynote_speaker","as_author","pc_chairs","pcs","session_chairs","panels","keynotes","papers","gender","country","sector"
"2477","Floratou, Avrilia","@microsoft.com",0,2,1,0,0,1,"","SIGMOD,SOCC","SOCC","","","SOCC","F","NA","com"
"2478","Flores, Marcel","",0,0,0,0,0,1,"","","","","","CoNEXT","NA","NA","NA"
"2479","Flores-Peñaloza, David","@ciencias.unam.mx",0,0,0,0,0,1,"","","","","","IPDPS","NA","mx","edu"
"2480","Flouri, Tomas","",0,0,0,0,0,1,"","","","","","HPCC","NA","NA","NA"
"2481","Flueratoru, Laura","",0,0,0,0,0,1,"","","","","","ATC","F","NA","NA"
"2482","Flynn, Cheryl","",0,0,0,0,0,1,"","","","","","CCS","M","NA","NA"
"2483","Folliot, Bertil","",0,1,0,0,0,0,"","VEE","","","","","M","NA","NA"
"2484","Fong, Liana","@us.ibm.com",0,1,0,0,0,1,"","HPDC","","","","HPDC","F","us","com"
"2485","Fonseca, Pedro","",0,0,0,0,0,1,"","","","","","EuroSys","F","NA","NA"
"2486","Fonseca, Rodrigo","@cs.brown.edu",0,1,1,0,0,1,"","NSDI","NSDI","","","Middleware","M","us","edu"
"2487","Fontaine, Matthew","MISSING",0,0,0,0,0,1,"","","","","","HPCC","M","NA","NA"
"2488","Fontoura, Marcus","@microsoft.com",0,1,0,0,0,1,"","SIGIR","","","","SOSP","M","NA","com"
"2489","Fontugne, Romain","@iij.ad.jp",0,0,0,0,0,1,"","","","","","IMC","F","jp","com"
"2490","Fook, Alessandro","",0,0,0,0,0,1,"","","","","","CCGrid","M","NA","NA"
"2491","Ford, Bryan","@epfl.ch",1,0,0,0,0,2,"ATC","","","","","SP,SOSP","M","ch","edu"
"2492","Forencich, Alex","",0,0,0,0,0,1,"","","","","","SIGCOMM","F","NA","NA"
"2493","Forget, Alain","@scs.carleton.ca",0,0,0,0,0,1,"","","","","","CCS","M","ca","edu"
"2494","Formby, David","@gatech.edu",0,0,0,0,0,1,"","","","","","SIGMETRICS","M","us","edu"
"2495","Forsell, Martti","",0,1,0,0,0,0,"","IPDPS","","","","","M","NA","NA"
"2496","Forte, Domenic J.","@ece.ufl.edu",0,1,0,0,0,1,"","NDSS","","","","CCS","M","ed","edu"
"2497","Fortes, Jose","@ufl.edu",0,1,1,0,1,1,"","ICAC","ICAC","","HPCC","ICAC","M","ed","edu"
"2498","Foschini, Luca","",0,0,1,0,0,0,"","","KDD","","","","M","NA","NA"
"2499","Foster, Ian","@uchicago.edu",0,3,1,0,1,2,"","Middleware,EuroPar,HPDC","HPDC","","HiPC","HPDC,HPDC","M","ed","edu"
"2500","Foster, Jeffrey S.","@cs.umd.edu",0,1,0,0,0,0,"","PLDI","","","","","M","ed","edu"
"2501","Foster, Nate","@cs.cornell.edu",0,3,0,0,0,1,"","NSDI,SIGCOMM,PLDI","","","","SOSP","M","us","edu"
"2502","Fotouhi, Hossein","@mdh.se",0,0,0,0,0,1,"","","","","","HPCC","F","se","edu"
"2503","Foukas, Xenofon","",0,0,0,0,0,1,"","","","","","MobiCom","M","NA","NA"
"2504","Fouladi, Sadjad","",0,0,0,0,0,1,"","","","","","NSDI","M","NA","NA"
"2505","Fouque, Pierre-Alain","@ens.fr",0,0,0,0,0,1,"","","","","","CCS","M","fr","edu"
"2506","Fourneau, Jean-Michel","@uvsq.fr",0,1,0,0,0,0,"","MASCOTS","","","","","M","fr","edu"
"2507","Fournet, Cédric","@microsoft.com",0,1,1,0,0,1,"","SP","SP","","","SP","M","NA","com"
"2508","Fournier, Yvan","",0,0,0,0,0,1,"","","","","","SC","M","NA","NA"
"2509","Fourtounis, George","",0,0,0,0,0,1,"","","","","","OOPSLA","F","NA","NA"
"2510","Fowze, Farhaan","@ufl.edu",0,0,0,0,0,1,"","","","","","CCS","NA","ed","edu"
"2511","Fox, Geoffrey C.","@indiana.edu",2,0,0,1,0,0,"CCGrid,CLOUD","","","CLOUD","","","M","us","edu"
"2512","Fox, Ian","",0,0,0,0,0,1,"","","","","","KDD","NA","NA","NA"
"2513","Fox, Tyler","@brown.edu",0,0,0,0,0,1,"","","","","","Cluster","NA","us","edu"
"2514","Foyer, Clément","@inria.fr",0,0,0,0,0,1,"","","","","","EuroPar","NA","fr","edu"
"2515","Fragouli, Christina","@ucla.edu",0,1,0,0,0,0,"","MobiCom","","","","","F","ed","edu"
"2516","Fraigniaud, Pierre","@liafa.univ-paris-diderot.fr",1,2,1,0,0,1,"IPDPS","SPAA,IPDPS","IPDPS","","","SPAA","M","fr","edu"
"2517","Francalanza, Adrian","@um.edu.mt",0,0,0,0,0,1,"","","","","","OOPSLA","M","ed","edu"
"2518","Franceschetti, Massimo","@ece.ucsd.edu",0,0,0,0,0,1,"","","","","","PODC","NA","ed","edu"
"2519","Franceschinis, Giuliana","@prof.saocamilo-sp.br",0,1,0,0,0,0,"","SIGMETRICS","","","","","F","br","edu"
"2520","Franchetti, Franz","@ece.cmu.edu",0,2,0,0,0,0,"","PLDI,PACT","","","","","M","us","edu"
"2521","Francillon, Aurélien","@eurecom.fr",0,2,0,0,0,0,"","CCS,NDSS","","","","","M","fr","edu"
"2522","Francis, Nadime","",0,0,0,0,0,1,"","","","","","PODS","NA","NA","NA"
"2523","Franco, Daniel","",0,0,0,0,0,1,"","","","","","EuroPar","M","NA","NA"
"2524","Franco, Juliana","@imperial.ac.uk",0,0,0,0,0,1,"","","","","","OOPSLA","M","uk","edu"
"2525","Franke, Bjoern","@inf.ed.ac.uk",0,0,0,0,0,1,"","","","","","ISPASS","NA","uk","edu"
"2526","Franklin, Diana","@cs.ucsb.edu",0,0,0,0,0,1,"","","","","","MICRO","NA","ed","edu"
"2527","Franklin, Michael J.","@uchicago.edu",0,0,0,1,2,3,"","","","ICDM","CLOUD,ICDM","NSDI,SOSP,HPDC","M","ed","edu"
"2528","Franz, Michael","",0,1,0,0,0,2,"","Middleware","","","","EuroSys,NDSS","M","NA","NA"
"2529","Franzon, Paul","",0,0,0,1,0,0,"","","","IGSC","","","M","NA","NA"
"2530","Frassetto, Tommaso","@trust.tu-darmstadt.de",0,0,0,0,0,1,"","","","","","CCS","NA","de","edu"
"2531","Fratantonio, Yanick","@eurecom.fr",0,0,0,0,0,2,"","","","","","SP,NDSS","NA","fr","edu"
"2532","Fratin, Vinícius","",0,0,0,0,0,1,"","","","","","HPCA","NA","NA","NA"
"2533","Fredin, Jerry","",0,0,0,0,0,1,"","","","","","FAST","NA","NA","NA"
"2534","Fredrikson, Matthew","@cs.cmu.edu",0,3,1,0,0,2,"","CCS,SP,NDSS","SP","","","CCS,SP","M","us","edu"
"2535","Freedman, Michael J.","@cs.princeton.edu",0,0,0,0,0,4,"","","","","","NSDI,NSDI,ATC,SOCC","NA","us","edu"
"2536","Freedman, Ofer","",0,0,0,0,0,1,"","","","","","PODC","F","NA","NA"
"2537","Freire, Juliana","@nyu.edu",0,1,0,0,0,0,"","SIGMOD","","","","","F","us","edu"
"2538","Freitag, Felix","@ac.upc.edu",0,0,0,0,0,1,"","","","","","CCGrid","NA","es","edu"
"2539","Frenkel, Marcus","",0,0,0,0,0,1,"","","","","","SLE","M","NA","NA"
"2540","Freund, Stephen","@cs.williams.edu",0,1,0,0,0,1,"","PLDI","","","","PLDI","M","us","edu"
"2541","Freund, Yoav","@eng.ucsd.edu",0,1,0,0,0,0,"","ICPP","","","","","M","ed","edu"
"2542","Frey, Steffen","@visus.uni-stuttgart.de",0,1,0,0,0,0,"","ISC","","","","","M","de","edu"
"2543","Fried, Joshua","@cis.upenn.edu",0,0,0,0,0,1,"","","","","","NDSS","M","ed","edu"
"2544","Friedman, Michal","",0,0,0,0,0,1,"","","","","","OOPSLA","F","NA","NA"
"2545","Friedman, Roy","MISSING",0,0,0,0,0,1,"","","","","","SIGCOMM","M","NA","NA"
"2546","Friedrich, Jan","",0,0,0,0,0,1,"","","","","","HPCC","M","NA","NA"
"2547","Friese, Ryan","@pnnl.gov",0,3,0,0,0,1,"","HCW,IGSC,HPCC","","","","IPDPS","M","us","gov"
"2548","Friesen, Brian","",0,0,0,0,0,1,"","","","","","SC","M","NA","NA"
"2549","Frincu, Marco","",0,0,1,0,0,0,"","","CCGrid","","","","M","NA","NA"
"2550","Frings, Roy","",0,0,0,0,0,1,"","","","","","ISC","M","NA","NA"
"2551","Frings, Wolfgang","",0,1,0,0,0,0,"","EuroPar","","","","","M","NA","NA"
"2552","Fritchie, Scott","",0,0,0,0,0,1,"","","","","","NSDI","NA","NA","NA"
"2553","Frontiere, Nicholas","",0,0,0,0,0,1,"","","","","","HiPC","NA","NA","NA"
"2554","Froyd, Nathan","",0,0,0,0,0,1,"","","","","","ATC","NA","NA","NA"
"2555","Fryer, Daniel","",0,0,0,0,0,1,"","","","","","HotStorage","NA","NA","NA"
"2556","Frömmgen, Alexander","@dvs.tu-darmstadt.de",0,0,0,0,0,1,"","","","","","Middleware","M","de","edu"
"2557","Fröning, Holger","@ziti.uni-heidelberg.de",0,4,0,0,0,2,"","SC,ICPP,ISC,HPCC","","","","IPDPS,ISC","M","de","edu"
"2558","Fu, Binzhang","@fu-berlin.de",0,0,0,0,0,1,"","","","","","ISCA","NA","de","edu"
"2559","Fu, Bo","@purdue.edu",0,0,0,0,0,1,"","","","","","SOCC","NA","us","edu"
"2560","Fu, Cheng","",0,0,0,0,0,1,"","","","","","ISCA","M","NA","NA"
"2561","Fu, Hao","@mail.ustc.edu.cn",0,0,0,0,0,1,"","","","","","ICDM","M","ed","edu"
"2562","Fu, Haohuan","@tsinghua.edu.cn",0,1,0,0,1,2,"","SC","","","ISC","IPDPS,IPDPS","M","us","edu"
"2563","Fu, Huansong","@cs.fsu.edu",0,0,0,0,0,1,"","","","","","CCGrid","F","us","edu"
"2564","Fu, Kaibo","",0,0,0,0,0,1,"","","","","","MobiCom","NA","NA","NA"
"2565","Fu, Qiang","@microsoft.com",0,0,0,0,0,1,"","","","","","SOCC","NA","NA","com"
"2566","Fu, Sheng-Yu","@csie.ntu.edu.tw",0,0,0,0,0,1,"","","","","","PACT","M","us","edu"
"2567","Fu, Song","@unt.edu",0,1,0,0,0,0,"","IGSC","","","","","M","ed","edu"
"2568","Fu, Tom Z. J.","@adsc.com.sg",0,0,0,0,0,1,"","","","","","HPDC","NA","NA","com"
"2569","Fu, Xiang","@tudelft.nl",0,0,0,0,0,1,"","","","","","MICRO","NA","nl","edu"
"2570","Fu, Xiaoming","@cs.uni-goettingen.de",0,0,0,0,0,3,"","","","","","SIGCOMM,CCGrid,CCGrid","F","de","edu"
"2571","Fu, Xin","",0,0,0,0,0,1,"","","","","","HPCA","NA","NA","NA"
"2572","Fu, Yanjie","@mst.edu",0,0,0,0,0,4,"","","","","","KDD,KDD,KDD,ICDM","M","us","edu"
"2573","Fu, Yun","@neu.edu",0,1,0,0,0,0,"","KDD","","","","","M","us","edu"
"2574","Fu, Zhoulai","@ucdavis.edu",0,0,0,0,0,1,"","","","","","PLDI","M","ed","edu"
