name,gs_email,as_pc_chair,as_pc,as_session_chair,as_panelist,as_keynote_speaker,as_author,pc_chairs,pcs,session_chairs,panels,keynotes,papers,gender,country,sector
"Helluy, Philippe",@unistra.fr,0,0,0,0,0,1,,,,,,HiPC,NA,fr,edu
"Hemani, Ahmed",@kth.se,0,0,0,0,0,1,,,,,,IPDPS,NA,se,edu
"Hemmert, Scott",,0,0,0,0,0,1,,,,,,CCGrid,NA,NA,NA
"Hemo, Rotem",,0,0,0,0,0,1,,,,,,SOSP,NA,NA,NA
"Hendahewa, Chathra",@cs.rutgers.edu,0,1,0,0,0,0,,SIGIR,,,,,F,us,edu
"Hendler, Danny",@cs.bgu.ac.il,0,0,0,0,0,1,,,,,,PODC,NA,il,edu
"Hendrickson, Bruce",@sandia.gov,0,1,0,0,0,0,,PPoPP,,,,,M,us,gov
"Henglein, Fritz",@diku.dk,0,0,0,0,0,1,,,,,,PLDI,NA,dk,edu
"Heninger, Nadia",@cis.upenn.edu,0,0,1,0,0,1,,,NDSS,,,NDSS,F,ed,edu
"Henriksen, Troels",@sigkill.dk,0,0,0,0,0,1,,,,,,PLDI,NA,dk,edu
"Henrio, Ludovic",@cnrs.fr,0,0,0,0,0,1,,,,,,SOCC,NA,fr,edu
"Henry, Ryan",@indiana.edu,0,0,0,0,0,1,,,,,,CCS,NA,us,edu
"Hensbergen, Eric Van",@arm.com,0,2,0,1,0,0,,"ISPASS,SC",,SC,,,M,NA,com
"Henschel, Robert",,0,0,0,0,0,1,,,,,,CLOUD,NA,NA,NA
"Heo, Kihong",@cis.upenn.edu,0,0,0,0,0,1,,,,,,OOPSLA,NA,ed,edu
"Heo, Taekyung",@kaist.ac.kr,0,0,0,0,0,1,,,,,,ISCA,NA,kr,edu
"Heras, Dora B.",,1,0,0,0,0,0,EuroPar,,,,,,F,NA,NA
"Herath, Mahen",,0,0,0,0,0,1,,,,,,HiPC,NA,NA,NA
"Herault, Thomas",@eecs.utk.edu,1,2,1,0,0,0,ICPP,"SC,HiPC",SC,,,,M,ed,edu
"Herbst, Nikolas",@uni-wuerzburg.de,0,0,0,0,0,1,,,,,,ICPE,NA,de,edu
"Herger, Lorraine M.",,0,0,0,1,0,0,,,,CLOUD,,,F,NA,NA
"Herley, Cormac",@microsoft.com,0,0,0,0,0,1,,,,,,SP,NA,NA,com
"Herley, Kieran T.",,0,1,0,0,0,0,,EuroPar,,,,,M,NA,NA
"Herlihy, Maurice",@cs.brown.edu,0,0,0,0,2,3,,,,,"PODC,SPAA","PODC,SPAA,SPAA",M,us,edu
"Hermann, Ben",@st.informatik.tu-darmstadt.de,0,0,0,0,0,1,,,,,,SP,NA,de,edu
"Hermenier, Fabien",@nutanix.com,0,0,0,0,0,2,,,,,,"EuroPar,SOCC",NA,NA,com
"Hernandez, Grant",@ufl.edu,0,0,0,0,0,1,,,,,,CCS,NA,ed,edu
"Hernandez, Oscar",@ornl.gov,0,0,0,0,0,1,,,,,,IPDPS,NA,us,gov
"Hernich, André",@liverpool.ac.uk,0,0,0,0,0,1,,,,,,PODS,NA,uk,edu
"Herodotou, Herodotos",@cut.ac.cy,0,0,0,0,0,1,,,,,,SIGMOD,NA,cy,edu
"Herold, Gottfried",,0,0,0,0,0,1,,,,,,CCS,NA,NA,NA
"Heroux, Michael",@sandia.gov,1,2,0,0,0,0,SC,"IPDPS,Cluster",,,,,M,us,gov
"Herrmann, Carl",@uni-heidelberg.de,0,0,0,0,0,1,,,,,,SP,NA,de,edu
"Herrmann, Julien",,0,0,0,0,0,1,,,,,,CCGrid,NA,NA,NA
"Herrmann, Kai",@tu-dresden.de,0,0,0,0,0,1,,,,,,SIGMOD,NA,de,edu
"Herschel, Melanie",@ipvs.uni-stuttgart.de,0,1,0,0,0,0,,SIGMOD,,,,,F,de,edu
"Hershkowitz, Ellis",@brown.edu,0,0,0,0,0,1,,,,,,PODC,NA,us,edu
"Herzberg, Amir",@cs.biu.ac.il,0,1,1,0,0,1,,NDSS,NDSS,,,NDSS,M,il,edu
"Herzog, Marco",,0,0,0,0,0,1,,,,,,CCS,NA,NA,NA
"Hess, Sibylle",,0,1,0,0,0,0,,ICDM,,,,,F,NA,NA
"Hetland, Conor",,0,0,0,0,0,1,,,,,,ICAC,NA,NA,NA
"Hetzelt, Felicitas",,0,0,0,0,0,1,,,,,,VEE,NA,NA,NA
"Hicks, Matthew",@VT.edu,0,2,0,0,0,1,,"CCS,SP",,,,ISCA,M,us,edu
"Hicks, Michael",@cs.umd.edu,0,2,1,0,0,1,,"CCS,SP",CCS,,,PLDI,M,ed,edu
"Hidders, Jan",@tudelft.nl,0,0,0,0,0,1,,,,,,PODS,NA,nl,edu
"Hiemstra, Djoerd",@cs.utwente.nl,0,1,1,0,0,0,,SIGIR,SIGIR,,,,M,nl,edu
"Higham, Nicholas",@manchester.ac.uk,0,0,0,0,0,1,,,,,,EuroPar,NA,uk,edu
"Hijaz, Farrukh",@uconn.edu,0,0,0,0,0,1,,,,,,IPDPS,NA,ed,edu
"Hildebrand, Dean",@us.ibm.com,0,3,1,0,0,2,,"SC,HPDC,ISC",SC,,,"FAST,FAST",M,us,com
"Hill, Judith C.",,0,1,0,0,0,0,,SC,,,,,F,NA,NA
"Hill, Mark D.",@cs.wisc.edu,0,0,0,1,0,2,,,,ISCA,,"ASPLOS,ASPLOS",M,us,edu
"Hill, Mason",,0,0,0,0,0,1,,,,,,MICRO,NA,NA,NA
"Hill, Pamela",,0,0,0,1,0,0,,,,SC,,,F,NA,NA
"Hill, Parker",@umich.edu,0,0,0,0,0,1,,,,,,MICRO,NA,ed,edu
"Hillel, Eshcar",,0,0,0,0,0,2,,,,,,"PPoPP,FAST",NA,NA,NA
"Hillenbrand, Marius",@kit.edu,0,0,0,0,0,2,,,,,,"SYSTOR,SYSTOR",NA,us,edu
"Hilt, Volker",@nokia-bell-labs.com,0,0,0,0,0,5,,,,,,"CoNEXT,Middleware,Middleware,CCGrid,SOCC",NA,NA,com
"Hilton, Drew",@ee.duke.edu,0,2,1,0,0,0,,"IISWC,ISCA",ISCA,,,,M,us,edu
"Hilton, Marcia",,0,0,0,0,0,1,,,,,,HCW,NA,NA,NA
"Hilunen, Matti",,0,1,0,0,0,0,,CLOUD,,,,,M,NA,NA
"Hines, Marcus",,0,0,0,0,0,1,,,,,,SIGCOMM,NA,NA,NA
"Hinkle, Mark",,0,0,0,0,0,1,,,,,,HPCC,NA,NA,NA
"Hira, Mukesh",,0,0,0,0,0,1,,,,,,CoNEXT,NA,NA,NA
"Hiraishi, Tasuku",@media.kyoto-u.ac.jp,0,1,0,0,0,0,,Cluster,,,,,M,ac,edu
"Hiraki, Kei",,0,4,1,0,0,0,,"MICRO,HPCA,ISCA,PACT",ISCA,,,,M,NA,NA
